id;resource_name;resource_description;resource_url;resource_preview_image;resource_type;weight;discipline_id;program_id;course_id;lesson_id
1;How to Trackstand - Video Guide;Watch a complete trackstand tutorial from beginner to advanced techniques;https://www.youtube.com/watch?v=YozLbJdqG1U;;VIDEO;1;;;;1
2;Bike Fit Calculator;Interactive tool to find your optimal saddle height and reach measurements;https://www.competitivecyclist.com/Store/catalog/fitCalculatorBike.jsp;;TOOL;1;;;;2
3;Balance Point Drill - Slow Motion;Slow-motion video showing exact body position and micro-corrections at the balance point;https://www.youtube.com/watch?v=EFnEGHhMjYA;;VIDEO;1;;;;3
4;The Rocking Technique Explained;Close-up demonstration of pedal pressure and release timing for the rocking trackstand;https://www.youtube.com/watch?v=Wr8IwBKmGSs;;VIDEO;1;;;;4
5;Trackstand Progression Checklist;Printable checklist to track your progress through each trackstand milestone;https://www.learnwithhamster.com/resources/trackstand-checklist;;PAGE;1;;;1;
6;Cycling Balance Training Overview;Comprehensive guide to all balance exercises for cyclists at every skill level;https://www.learnwithhamster.com/resources/cycling-balance-guide;;PAGE;1;1;;;
7;Road Bike Buyers Guide;Compare frame materials, groupsets, and price points to find your perfect first road bike;https://www.bikeradar.com/advice/buyers-guides/best-road-bikes;;PAGE;1;;;;8
8;Proper Riding Position Diagram;Illustrated diagram showing correct body angles and contact points on a road bike;https://www.learnwithhamster.com/resources/riding-position-diagram;;IMAGE;1;;;;9
9;Freestyle Swimming Tutorial;Expert coaching video breaking down each phase of the freestyle stroke with drills;https://www.youtube.com/watch?v=5HLW2AI1Ink;;VIDEO;1;;;;10
10;Sport Training Fundamentals;Overview article covering core training principles that apply across all sporting disciplines;https://www.learnwithhamster.com/resources/sport-training-fundamentals;;PAGE;2;1;;;
11;Shifting and Cadence Guide;Complete guide to gear shifting technique and maintaining optimal cadence on road bikes;https://www.youtube.com/watch?v=GBSSEAq-MpE;;VIDEO;1;;;;11
12;Group Riding Hand Signals;Learn the essential hand signals and communication for safe group road cycling;https://www.youtube.com/watch?v=5kvFBTfZgS8;;VIDEO;1;;;;12
13;Bilateral Breathing for Freestyle;Step-by-step tutorial on developing balanced bilateral breathing technique in freestyle swimming;https://www.youtube.com/watch?v=Lu5kf3V2aYM;;VIDEO;1;;;;13
14;Flip Turn Tutorial;Learn how to do a proper flip turn with drills for each phase of the turn;https://www.youtube.com/watch?v=kAH7gOOsFpQ;;VIDEO;1;;;;14
15;Swim Workout Structure;How to plan and execute an effective swim workout with proper intervals and pacing;https://www.youtube.com/watch?v=TY3GyO7gVFo;;VIDEO;1;;;;15
16;How to Hold and Tune Your Guitar;Beginner guitar lesson covering proper posture, hand position, and tuning your guitar;https://www.youtube.com/watch?v=BBz-Jyr23M4;;VIDEO;1;;;;16
17;Open Chords E A D Tutorial;Learn the three essential open chords every guitarist needs to know;https://www.youtube.com/watch?v=Ry7MiDPTjcs;;VIDEO;1;;;;17
18;Beginner Strumming Patterns;Four must-know strumming patterns for acoustic guitar beginners;https://www.youtube.com/watch?v=TmNqFaw-IpE;;VIDEO;1;;;;18
19;Play Your First Song on Guitar;Complete walkthrough of playing your first song using basic open chords;https://www.youtube.com/watch?v=IHcFVa_3jMY;;VIDEO;1;;;;19
20;Fingerpicking for Beginners;Introduction to fingerpicking technique with the PIMA pattern for acoustic guitar;https://www.youtube.com/watch?v=yOsmVnWxqYE;;VIDEO;1;;;;20
21;HTML Crash Course;Complete HTML tutorial for beginners covering structure, elements, and building your first page;https://www.youtube.com/watch?v=UB1O30fR-EE;;VIDEO;1;;;;21
22;CSS Box Model and Selectors;Learn CSS selectors, specificity, and the box model for styling web pages;https://www.youtube.com/watch?v=yfoY53QXEnI;;VIDEO;1;;;;22
23;CSS Flexbox in 20 Minutes;Master CSS Flexbox layout with practical examples and responsive design techniques;https://www.youtube.com/watch?v=JJSoEo8JSnc;;VIDEO;1;;;;23
24;JavaScript DOM Manipulation;Learn JavaScript basics and DOM manipulation for interactive web pages;https://www.youtube.com/watch?v=hdI2bqOjy3c;;VIDEO;1;;;;24
25;Build a To-Do List App;Step-by-step project building a to-do list with HTML, CSS, and JavaScript;https://www.youtube.com/watch?v=MkESyVB4oUw;;VIDEO;1;;;;25
